['0', '0.03137254901960784', '3.0']
['0', '0.03529411764705882', '1425.0']
['0', '0.0392156862745098', '1069.0']
['0', '0.043137254901960784', '511.0']
['0', '0.047058823529411764', '511.0']
['0', '0.050980392156862744', '511.0']
['0', '0.054901960784313725', '511.0']
['0', '0.058823529411764705', '511.0']
['0', '0.06274509803921569', '511.0']
['1', '0.0392156862745098', '1021.0']
['1', '0.043137254901960784', '1047.0']
['1', '0.047058823529411764', '1409.0']
['1', '0.050980392156862744', '941.0']
['1', '0.054901960784313725', '751.0']
['1', '0.058823529411764705', '1023.0']
['1', '0.06274509803921569', '511.0']
['2', '0.0196078431372549', '1093.0']
['2', '0.023529411764705882', '851.0']
['2', '0.027450980392156862', '821.0']
['2', '0.03137254901960784', '511.0']
['2', '0.03529411764705882', '511.0']
['2', '0.0392156862745098', '511.0']
['2', '0.043137254901960784', '511.0']
['2', '0.047058823529411764', '511.0']
['2', '0.050980392156862744', '511.0']
['2', '0.054901960784313725', '511.0']
['2', '0.058823529411764705', '511.0']
['2', '0.06274509803921569', '253.0']
['3', '0.043137254901960784', '1163.0']
['3', '0.047058823529411764', '1131.0']
['3', '0.050980392156862744', '847.0']
['3', '0.054901960784313725', '1023.0']
['3', '0.058823529411764705', '1023.0']
['3', '0.06274509803921569', '1023.0']
['4', '0.03137254901960784', '1041.0']
['4', '0.03529411764705882', '1023.0']
['4', '0.0392156862745098', '1023.0']
['4', '0.043137254901960784', '1023.0']
['4', '0.047058823529411764', '1023.0']
['4', '0.050980392156862744', '511.0']
['4', '0.054901960784313725', '511.0']
['4', '0.058823529411764705', '511.0']
['4', '0.06274509803921569', '511.0']
['5', '0.023529411764705882', '363.0']
['5', '0.027450980392156862', '1029.0']
['5', '0.03137254901960784', '913.0']
['5', '0.03529411764705882', '511.0']
['5', '0.0392156862745098', '511.0']
['5', '0.043137254901960784', '511.0']
['5', '0.047058823529411764', '511.0']
