['58', '0.050980392156862744', '1023.0']
['58', '0.054901960784313725', '1023.0']
['58', '0.058823529411764705', '1023.0']
['58', '0.06274509803921569', '1023.0']
['59', '0.0196078431372549', '63.0']
['59', '0.023529411764705882', '1671.0']
['59', '0.027450980392156862', '1143.0']
['59', '0.03137254901960784', '1023.0']
['59', '0.03529411764705882', '1023.0']
['59', '0.0392156862745098', '1023.0']
['59', '0.043137254901960784', '1023.0']
['59', '0.047058823529411764', '511.0']
['59', '0.050980392156862744', '511.0']
['59', '0.054901960784313725', '511.0']
['59', '0.058823529411764705', '5.0']
['60', '0.043137254901960784', '2073.0']
['60', '0.047058823529411764', '1385.0']
['60', '0.050980392156862744', '1249.0']
['60', '0.054901960784313725', '1019.0']
['60', '0.058823529411764705', '1023.0']
['60', '0.06274509803921569', '1023.0']
['61', '0.023529411764705882', '21.0']
['61', '0.027450980392156862', '1525.0']
['61', '0.03137254901960784', '1597.0']
['61', '0.03529411764705882', '1023.0']
['61', '0.0392156862745098', '1023.0']
['61', '0.043137254901960784', '1023.0']
['61', '0.047058823529411764', '1023.0']
['61', '0.050980392156862744', '1023.0']
['61', '0.054901960784313725', '1023.0']
['61', '0.058823529411764705', '1023.0']
['61', '0.06274509803921569', '1023.0']
['62', '0.00784313725490196', '1973.0']
['62', '0.011764705882352941', '5.0']
['62', '0.01568627450980392', '1763.0']
['62', '0.0196078431372549', '1841.0']
['62', '0.023529411764705882', '1023.0']
['62', '0.027450980392156862', '61.0']
['63', '0.027450980392156862', '1847.0']
['63', '0.03137254901960784', '2105.0']
['63', '0.03529411764705882', '1579.0']
['63', '0.0392156862745098', '1023.0']
['63', '0.043137254901960784', '1023.0']
['63', '0.047058823529411764', '1023.0']
['63', '0.050980392156862744', '1023.0']
['63', '0.054901960784313725', '1023.0']
['63', '0.058823529411764705', '1023.0']
['63', '0.06274509803921569', '1023.0']
['64', '0.03137254901960784', '1849.0']
['64', '0.03529411764705882', '1779.0']
