['62', '0.00392156862745098', '3.0']
['64', '0.011764705882352941', '113.0']
['66', '0.011764705882352941', '21.0']
['70', '0.011764705882352941', '41.0']
['71', '0.0196078431372549', '271.0']
['71', '0.023529411764705882', '771.0']
['71', '0.027450980392156862', '511.0']
['71', '0.03137254901960784', '471.0']
['72', '0.0196078431372549', '5.0']
['72', '0.023529411764705882', '1223.0']
['72', '0.027450980392156862', '493.0']
['72', '0.03137254901960784', '511.0']
['72', '0.03529411764705882', '511.0']
['73', '0.023529411764705882', '3.0']
['73', '0.027450980392156862', '711.0']
['73', '0.03137254901960784', '511.0']
['73', '0.03529411764705882', '511.0']
['73', '0.0392156862745098', '499.0']
['73', '0.043137254901960784', '255.0']
['73', '0.047058823529411764', '255.0']
['73', '0.050980392156862744', '255.0']
['73', '0.054901960784313725', '127.0']
['73', '0.058823529411764705', '127.0']
['73', '0.06274509803921569', '127.0']
['76', '0.0196078431372549', '11.0']
['76', '0.023529411764705882', '1935.0']
['76', '0.027450980392156862', '511.0']
['77', '0.00784313725490196', '11.0']
['78', '0.01568627450980392', '1913.0']
['79', '0.0196078431372549', '1123.0']
['79', '0.023529411764705882', '1929.0']
['79', '0.027450980392156862', '2047.0']
['80', '0.01568627450980392', '79.0']
['80', '0.0196078431372549', '1793.0']
['81', '0.027450980392156862', '91.0']
['81', '0.03137254901960784', '1375.0']
['81', '0.03529411764705882', '737.0']
['82', '0.027450980392156862', '3.0']
['82', '0.03137254901960784', '223.0']
['82', '0.03529411764705882', '879.0']
['82', '0.0392156862745098', '479.0']
['82', '0.043137254901960784', '487.0']
['82', '0.047058823529411764', '511.0']
['82', '0.050980392156862744', '255.0']
['82', '0.054901960784313725', '255.0']
['82', '0.058823529411764705', '255.0']
['82', '0.06274509803921569', '255.0']
['84', '0.027450980392156862', '693.0']
['84', '0.03137254901960784', '573.0']
['84', '0.03529411764705882', '485.0']
['84', '0.0392156862745098', '255.0']
['84', '0.043137254901960784', '249.0']
['88', '0.00784313725490196', '1267.0']
['89', '0.01568627450980392', '1777.0']
['89', '0.0196078431372549', '1765.0']
['89', '0.023529411764705882', '2043.0']
['90', '0.01568627450980392', '1819.0']
['92', '0.023529411764705882', '17.0']
['92', '0.027450980392156862', '1925.0']
['92', '0.03137254901960784', '1373.0']
['92', '0.03529411764705882', '1501.0']
['92', '0.0392156862745098', '587.0']
['92', '0.043137254901960784', '741.0']
['96', '0.0196078431372549', '241.0']
['96', '0.023529411764705882', '901.0']
['96', '0.027450980392156862', '511.0']
['96', '0.03137254901960784', '511.0']
['96', '0.03529411764705882', '511.0']
['98', '0.0392156862745098', '7.0']
['98', '0.043137254901960784', '103.0']
['98', '0.047058823529411764', '1113.0']
['98', '0.050980392156862744', '1453.0']
['98', '0.054901960784313725', '1325.0']
