['2', '0.01568627450980392', '225.0']
['4', '0.0196078431372549', '3.0']
['4', '0.023529411764705882', '143.0']
['4', '0.027450980392156862', '127.0']
['4', '0.03137254901960784', '63.0']
['4', '0.03529411764705882', '31.0']
['4', '0.0392156862745098', '31.0']
['4', '0.043137254901960784', '31.0']
['4', '0.047058823529411764', '31.0']
['5', '0.01568627450980392', '17.0']
['5', '0.0196078431372549', '511.0']
['6', '0.023529411764705882', '103.0']
['6', '0.027450980392156862', '219.0']
['6', '0.03137254901960784', '151.0']
['9', '0.01568627450980392', '7.0']
['9', '0.0196078431372549', '295.0']
['13', '0.043137254901960784', '3.0']
['13', '0.047058823529411764', '53.0']
['13', '0.050980392156862744', '123.0']
['13', '0.054901960784313725', '125.0']
['13', '0.058823529411764705', '57.0']
['13', '0.06274509803921569', '51.0']
['14', '0.011764705882352941', '1065.0']
['15', '0.01568627450980392', '331.0']
['16', '0.03137254901960784', '5.0']
['16', '0.03529411764705882', '211.0']
['16', '0.0392156862745098', '105.0']
['16', '0.043137254901960784', '63.0']
['16', '0.047058823529411764', '63.0']
['16', '0.050980392156862744', '63.0']
['16', '0.054901960784313725', '63.0']
['16', '0.058823529411764705', '31.0']
['16', '0.06274509803921569', '31.0']
['18', '0.03137254901960784', '59.0']
['18', '0.03529411764705882', '505.0']
['18', '0.0392156862745098', '255.0']
['18', '0.043137254901960784', '159.0']
['18', '0.047058823529411764', '171.0']
['18', '0.050980392156862744', '121.0']
['18', '0.054901960784313725', '63.0']
['20', '0.023529411764705882', '217.0']
['20', '0.027450980392156862', '267.0']
['21', '0.0196078431372549', '187.0']
['32', '0.011764705882352941', '7.0']
['32', '0.01568627450980392', '243.0']
['36', '0.00392156862745098', '15.0']
['38', '0.01568627450980392', '15.0']
['38', '0.0196078431372549', '359.0']
['39', '0.01568627450980392', '271.0']
['41', '0.023529411764705882', '5.0']
