['11', '0.0392156862745098', '25.0']
['11', '0.043137254901960784', '1223.0']
['11', '0.047058823529411764', '1429.0']
['11', '0.050980392156862744', '1107.0']
['11', '0.054901960784313725', '1023.0']
['11', '0.058823529411764705', '1023.0']
['11', '0.06274509803921569', '511.0']
['12', '0.027450980392156862', '1513.0']
['12', '0.03137254901960784', '1101.0']
['12', '0.03529411764705882', '909.0']
['12', '0.0392156862745098', '1023.0']
['12', '0.043137254901960784', '1023.0']
['12', '0.047058823529411764', '511.0']
['12', '0.050980392156862744', '511.0']
['12', '0.054901960784313725', '511.0']
['12', '0.058823529411764705', '511.0']
['12', '0.06274509803921569', '511.0']
['13', '0.0392156862745098', '69.0']
['13', '0.043137254901960784', '1229.0']
['13', '0.047058823529411764', '1361.0']
['13', '0.050980392156862744', '1103.0']
['13', '0.054901960784313725', '763.0']
['13', '0.058823529411764705', '1023.0']
['13', '0.06274509803921569', '1023.0']
['14', '0.027450980392156862', '1303.0']
['14', '0.03137254901960784', '1481.0']
['14', '0.03529411764705882', '731.0']
['14', '0.0392156862745098', '1023.0']
['14', '0.043137254901960784', '1023.0']
['14', '0.047058823529411764', '1023.0']
['14', '0.050980392156862744', '1023.0']
['14', '0.054901960784313725', '511.0']
['14', '0.058823529411764705', '511.0']
['14', '0.06274509803921569', '511.0']
['15', '0.03137254901960784', '521.0']
['15', '0.03529411764705882', '1049.0']
['15', '0.0392156862745098', '1643.0']
['15', '0.043137254901960784', '1023.0']
['15', '0.047058823529411764', '1023.0']
['15', '0.050980392156862744', '1023.0']
['15', '0.054901960784313725', '511.0']
['15', '0.058823529411764705', '1023.0']
['15', '0.06274509803921569', '1023.0']
['16', '0.023529411764705882', '1651.0']
['16', '0.027450980392156862', '1223.0']
['16', '0.03137254901960784', '1023.0']
['16', '0.03529411764705882', '1023.0']
['16', '0.0392156862745098', '1023.0']
['16', '0.043137254901960784', '1023.0']
['16', '0.047058823529411764', '1023.0']
