['52', '0.06274509803921569', '1023.0']
['53', '0.027450980392156862', '1385.0']
['53', '0.03137254901960784', '1411.0']
['53', '0.03529411764705882', '1023.0']
['53', '0.0392156862745098', '1023.0']
['53', '0.043137254901960784', '1023.0']
['53', '0.047058823529411764', '1023.0']
['53', '0.050980392156862744', '1023.0']
['53', '0.054901960784313725', '511.0']
['53', '0.058823529411764705', '511.0']
['53', '0.06274509803921569', '511.0']
['54', '0.047058823529411764', '5.0']
['54', '0.050980392156862744', '1387.0']
['54', '0.054901960784313725', '1469.0']
['54', '0.058823529411764705', '1285.0']
['54', '0.06274509803921569', '993.0']
['55', '0.027450980392156862', '3.0']
['55', '0.03137254901960784', '1603.0']
['55', '0.03529411764705882', '1381.0']
['55', '0.0392156862745098', '1287.0']
['55', '0.043137254901960784', '1023.0']
['55', '0.047058823529411764', '1023.0']
['55', '0.050980392156862744', '1023.0']
['55', '0.054901960784313725', '1023.0']
['55', '0.058823529411764705', '1023.0']
['55', '0.06274509803921569', '1023.0']
['56', '0.0392156862745098', '1629.0']
['56', '0.043137254901960784', '1453.0']
['56', '0.047058823529411764', '1023.0']
['56', '0.050980392156862744', '1023.0']
['56', '0.054901960784313725', '1023.0']
['56', '0.058823529411764705', '1023.0']
['56', '0.06274509803921569', '1023.0']
['57', '0.023529411764705882', '1483.0']
['57', '0.027450980392156862', '957.0']
['57', '0.03137254901960784', '1023.0']
['57', '0.03529411764705882', '1023.0']
['57', '0.0392156862745098', '511.0']
['57', '0.043137254901960784', '511.0']
['57', '0.047058823529411764', '511.0']
['57', '0.050980392156862744', '511.0']
['57', '0.054901960784313725', '511.0']
['57', '0.058823529411764705', '511.0']
['57', '0.06274509803921569', '511.0']
['58', '0.027450980392156862', '1633.0']
['58', '0.03137254901960784', '1703.0']
['58', '0.03529411764705882', '1451.0']
['58', '0.0392156862745098', '1879.0']
['58', '0.043137254901960784', '1023.0']
['58', '0.047058823529411764', '1023.0']
