['77', '0.047058823529411764', '255.0']
['77', '0.050980392156862744', '255.0']
['77', '0.054901960784313725', '255.0']
['77', '0.058823529411764705', '255.0']
['77', '0.06274509803921569', '255.0']
['78', '0.023529411764705882', '515.0']
['78', '0.027450980392156862', '437.0']
['78', '0.03137254901960784', '511.0']
['78', '0.03529411764705882', '511.0']
['78', '0.0392156862745098', '255.0']
['78', '0.043137254901960784', '29.0']
['78', '0.054901960784313725', '5.0']
['78', '0.058823529411764705', '5.0']
['79', '0.03529411764705882', '17.0']
['79', '0.0392156862745098', '661.0']
['79', '0.043137254901960784', '547.0']
['79', '0.047058823529411764', '857.0']
['79', '0.050980392156862744', '511.0']
['79', '0.054901960784313725', '511.0']
['79', '0.058823529411764705', '511.0']
['79', '0.06274509803921569', '511.0']
['80', '0.023529411764705882', '609.0']
['80', '0.027450980392156862', '639.0']
['80', '0.03137254901960784', '693.0']
['80', '0.03529411764705882', '493.0']
['80', '0.0392156862745098', '511.0']
['80', '0.043137254901960784', '511.0']
['80', '0.047058823529411764', '511.0']
['80', '0.050980392156862744', '511.0']
['80', '0.054901960784313725', '511.0']
['80', '0.058823529411764705', '511.0']
['80', '0.06274509803921569', '511.0']
['81', '0.03137254901960784', '409.0']
['81', '0.03529411764705882', '379.0']
['81', '0.0392156862745098', '511.0']
['81', '0.043137254901960784', '511.0']
['81', '0.047058823529411764', '255.0']
['81', '0.050980392156862744', '511.0']
['81', '0.054901960784313725', '255.0']
['81', '0.058823529411764705', '255.0']
['81', '0.06274509803921569', '255.0']
['82', '0.050980392156862744', '555.0']
['82', '0.054901960784313725', '637.0']
['82', '0.058823529411764705', '665.0']
['82', '0.06274509803921569', '511.0']
['83', '0.03137254901960784', '743.0']
['83', '0.03529411764705882', '789.0']
['83', '0.0392156862745098', '511.0']
['83', '0.043137254901960784', '511.0']
['83', '0.047058823529411764', '511.0']
