['1', '0.027450980392156862', '41.0']
['2', '0.01568627450980392', '5.0']
['3', '0.03529411764705882', '21.0']
['4', '0.01568627450980392', '5.0']
['6', '0.0196078431372549', '17.0']
['7', '0.0196078431372549', '7.0']
['7', '0.023529411764705882', '669.0']
['8', '0.011764705882352941', '3.0']
['9', '0.03137254901960784', '151.0']
['10', '0.047058823529411764', '21.0']
['11', '0.03137254901960784', '5.0']
['11', '0.03529411764705882', '133.0']
['12', '0.023529411764705882', '755.0']
['13', '0.03137254901960784', '369.0']
['14', '0.03137254901960784', '27.0']
['15', '0.03137254901960784', '3.0']
['15', '0.03529411764705882', '31.0']
['16', '0.027450980392156862', '11.0']
['16', '0.03137254901960784', '49.0']
['16', '0.0392156862745098', '437.0']
['19', '0.0196078431372549', '5.0']
['20', '0.027450980392156862', '113.0']
['21', '0.0196078431372549', '11.0']
['22', '0.0392156862745098', '7.0']
['22', '0.043137254901960784', '113.0']
['22', '0.047058823529411764', '329.0']
['23', '0.0392156862745098', '23.0']
['25', '0.047058823529411764', '3.0']
['26', '0.0196078431372549', '19.0']
['27', '0.023529411764705882', '11.0']
['27', '0.027450980392156862', '123.0']
['28', '0.043137254901960784', '11.0']
['28', '0.047058823529411764', '1667.0']
['29', '0.023529411764705882', '5.0']
['29', '0.027450980392156862', '649.0']
['30', '0.0392156862745098', '517.0']
['32', '0.03137254901960784', '9.0']
['33', '0.03137254901960784', '7.0']
['33', '0.03529411764705882', '691.0']
['35', '0.03529411764705882', '7.0']
['36', '0.0196078431372549', '7.0']
['37', '0.023529411764705882', '11.0']
['38', '0.011764705882352941', '879.0']
['39', '0.027450980392156862', '41.0']
['40', '0.0196078431372549', '7.0']
['40', '0.023529411764705882', '325.0']
['41', '0.023529411764705882', '15.0']
['43', '0.01568627450980392', '11.0']
['44', '0.027450980392156862', '13.0']
['44', '0.03529411764705882', '185.0']
['45', '0.023529411764705882', '5.0']
['45', '0.027450980392156862', '347.0']
['46', '0.0196078431372549', '15.0']
['46', '0.03137254901960784', '1377.0']
['47', '0.027450980392156862', '3.0']
['48', '0.027450980392156862', '353.0']
['49', '0.023529411764705882', '5.0']
['50', '0.027450980392156862', '1051.0']
['51', '0.0392156862745098', '5.0']
