['51', '0.047058823529411764', '581.0']
['52', '0.03529411764705882', '59.0']
['52', '0.0392156862745098', '71.0']
['53', '0.03137254901960784', '237.0']
['54', '0.050980392156862744', '37.0']
['55', '0.03529411764705882', '81.0']
['55', '0.043137254901960784', '5.0']
['56', '0.0392156862745098', '1089.0']
['58', '0.03529411764705882', '7.0']
['58', '0.0392156862745098', '275.0']
['59', '0.027450980392156862', '9.0']
['61', '0.027450980392156862', '3.0']
['61', '0.03137254901960784', '17.0']
['61', '0.03529411764705882', '31.0']
['61', '0.0392156862745098', '7.0']
['61', '0.043137254901960784', '7.0']
['61', '0.047058823529411764', '5.0']
['61', '0.050980392156862744', '5.0']
['61', '0.058823529411764705', '49.0']
['61', '0.06274509803921569', '49.0']
['63', '0.023529411764705882', '211.0']
['64', '0.0196078431372549', '543.0']
['65', '0.00784313725490196', '3.0']
['66', '0.0392156862745098', '55.0']
['67', '0.03529411764705882', '21.0']
['68', '0.0392156862745098', '41.0']
['69', '0.06274509803921569', '21.0']
['70', '0.03137254901960784', '55.0']
['71', '0.06274509803921569', '3.0']
['72', '0.03529411764705882', '3.0']
['72', '0.0392156862745098', '9.0']
['72', '0.043137254901960784', '35.0']
['72', '0.047058823529411764', '579.0']
['73', '0.027450980392156862', '311.0']
['73', '0.03137254901960784', '5.0']
['74', '0.0196078431372549', '5.0']
['74', '0.023529411764705882', '245.0']
['75', '0.0196078431372549', '5.0']
['76', '0.027450980392156862', '5.0']
['76', '0.03137254901960784', '629.0']
['78', '0.0196078431372549', '19.0']
['78', '0.023529411764705882', '1213.0']
['79', '0.03529411764705882', '5.0']
['80', '0.0196078431372549', '23.0']
['81', '0.023529411764705882', '5.0']
['81', '0.027450980392156862', '153.0']
['82', '0.0392156862745098', '7.0']
['84', '0.03529411764705882', '3.0']
['84', '0.0392156862745098', '7.0']
['84', '0.043137254901960784', '531.0']
['85', '0.03529411764705882', '7.0']
['85', '0.0392156862745098', '835.0']
['86', '0.0196078431372549', '27.0']
['87', '0.047058823529411764', '81.0']
['87', '0.050980392156862744', '23.0']
['88', '0.043137254901960784', '335.0']
['89', '0.027450980392156862', '7.0']
['89', '0.03529411764705882', '7.0']
['90', '0.03137254901960784', '5.0']
['90', '0.03529411764705882', '109.0']
