['45', '0.027450980392156862', '347.0']
['46', '0.0196078431372549', '15.0']
['46', '0.023529411764705882', '7553.0']
['46', '0.027450980392156862', '6711.0']
['46', '0.03137254901960784', '1377.0']
['47', '0.027450980392156862', '3.0']
['47', '0.03137254901960784', '3247.0']
['48', '0.027450980392156862', '353.0']
['49', '0.023529411764705882', '5.0']
['50', '0.027450980392156862', '1051.0']
['50', '0.03137254901960784', '2813.0']
['51', '0.0392156862745098', '5.0']
['51', '0.043137254901960784', '125.0']
['51', '0.047058823529411764', '581.0']
['51', '0.050980392156862744', '3121.0']
['51', '0.054901960784313725', '5051.0']
['51', '0.058823529411764705', '2787.0']
['51', '0.06274509803921569', '3683.0']
['52', '0.03529411764705882', '59.0']
['52', '0.0392156862745098', '71.0']
['52', '0.043137254901960784', '2855.0']
['52', '0.047058823529411764', '3495.0']
['53', '0.03137254901960784', '237.0']
['53', '0.03529411764705882', '3109.0']
['54', '0.050980392156862744', '37.0']
['55', '0.03529411764705882', '81.0']
['55', '0.0392156862745098', '2631.0']
['55', '0.043137254901960784', '5.0']
['56', '0.0392156862745098', '1089.0']
['56', '0.043137254901960784', '3475.0']
['56', '0.047058823529411764', '4093.0']
['57', '0.023529411764705882', '4149.0']
['58', '0.03529411764705882', '7.0']
['58', '0.0392156862745098', '275.0']
['58', '0.043137254901960784', '1353.0']
['58', '0.047058823529411764', '3471.0']
['58', '0.050980392156862744', '4395.0']
['59', '0.027450980392156862', '9.0']
['59', '0.03137254901960784', '2613.0']
['60', '0.043137254901960784', '225.0']
['60', '0.047058823529411764', '3517.0']
['60', '0.050980392156862744', '3471.0']
['60', '0.054901960784313725', '3107.0']
['60', '0.058823529411764705', '3065.0']
['61', '0.027450980392156862', '3.0']
['61', '0.03137254901960784', '17.0']
['61', '0.03529411764705882', '31.0']
['61', '0.0392156862745098', '7.0']
['61', '0.043137254901960784', '7.0']
['61', '0.047058823529411764', '5.0']
