['83', '0.050980392156862744', '511.0']
['83', '0.054901960784313725', '511.0']
['83', '0.058823529411764705', '511.0']
['83', '0.06274509803921569', '255.0']
['84', '0.027450980392156862', '7.0']
['84', '0.03137254901960784', '737.0']
['84', '0.03529411764705882', '927.0']
['84', '0.0392156862745098', '511.0']
['84', '0.043137254901960784', '511.0']
['84', '0.047058823529411764', '511.0']
['84', '0.050980392156862744', '511.0']
['84', '0.054901960784313725', '511.0']
['84', '0.058823529411764705', '511.0']
['84', '0.06274509803921569', '511.0']
['85', '0.043137254901960784', '19.0']
['85', '0.047058823529411764', '633.0']
['85', '0.050980392156862744', '623.0']
['85', '0.054901960784313725', '563.0']
['85', '0.058823529411764705', '511.0']
['85', '0.06274509803921569', '511.0']
['86', '0.03529411764705882', '27.0']
['86', '0.0392156862745098', '803.0']
['86', '0.043137254901960784', '725.0']
['86', '0.047058823529411764', '511.0']
['86', '0.050980392156862744', '511.0']
['86', '0.054901960784313725', '511.0']
['86', '0.058823529411764705', '511.0']
['86', '0.06274509803921569', '511.0']
['87', '0.027450980392156862', '3.0']
['87', '0.03137254901960784', '951.0']
['87', '0.03529411764705882', '747.0']
['87', '0.0392156862745098', '1023.0']
['87', '0.043137254901960784', '511.0']
['87', '0.047058823529411764', '511.0']
['87', '0.050980392156862744', '511.0']
['87', '0.054901960784313725', '511.0']
['87', '0.058823529411764705', '511.0']
['87', '0.06274509803921569', '511.0']
['88', '0.047058823529411764', '885.0']
['88', '0.050980392156862744', '739.0']
['88', '0.054901960784313725', '765.0']
['88', '0.058823529411764705', '597.0']
['88', '0.06274509803921569', '511.0']
['89', '0.0196078431372549', '19.0']
['89', '0.023529411764705882', '715.0']
['89', '0.027450980392156862', '557.0']
['89', '0.03137254901960784', '511.0']
['89', '0.03529411764705882', '511.0']
['89', '0.0392156862745098', '511.0']
['89', '0.043137254901960784', '511.0']
