['22', '0.06274509803921569', '1023.0']
['23', '0.03529411764705882', '1675.0']
['23', '0.0392156862745098', '1473.0']
['23', '0.043137254901960784', '1381.0']
['23', '0.047058823529411764', '917.0']
['23', '0.050980392156862744', '1023.0']
['23', '0.054901960784313725', '1023.0']
['23', '0.058823529411764705', '1023.0']
['23', '0.06274509803921569', '1023.0']
['24', '0.023529411764705882', '1533.0']
['24', '0.027450980392156862', '1003.0']
['24', '0.03137254901960784', '1023.0']
['24', '0.03529411764705882', '1023.0']
['24', '0.0392156862745098', '511.0']
['24', '0.043137254901960784', '511.0']
['24', '0.047058823529411764', '511.0']
['24', '0.050980392156862744', '511.0']
['24', '0.054901960784313725', '511.0']
['24', '0.058823529411764705', '511.0']
['24', '0.06274509803921569', '511.0']
['25', '0.050980392156862744', '13.0']
['25', '0.054901960784313725', '329.0']
['25', '0.058823529411764705', '1381.0']
['25', '0.06274509803921569', '1475.0']
['26', '0.023529411764705882', '111.0']
['26', '0.027450980392156862', '1071.0']
['26', '0.03137254901960784', '1023.0']
['26', '0.03529411764705882', '1023.0']
['26', '0.0392156862745098', '1023.0']
['26', '0.043137254901960784', '1023.0']
['26', '0.047058823529411764', '511.0']
['26', '0.050980392156862744', '1023.0']
['26', '0.054901960784313725', '511.0']
['26', '0.058823529411764705', '5.0']
['27', '0.0392156862745098', '1451.0']
['27', '0.043137254901960784', '1677.0']
['27', '0.047058823529411764', '1691.0']
['27', '0.050980392156862744', '1023.0']
['27', '0.054901960784313725', '1023.0']
['27', '0.058823529411764705', '1023.0']
['27', '0.06274509803921569', '1023.0']
['28', '0.03529411764705882', '91.0']
['28', '0.0392156862745098', '1999.0']
['28', '0.043137254901960784', '1591.0']
['28', '0.047058823529411764', '1503.0']
['28', '0.050980392156862744', '987.0']
['28', '0.054901960784313725', '1015.0']
['28', '0.058823529411764705', '1023.0']
['28', '0.06274509803921569', '1023.0']
['29', '0.0196078431372549', '195.0']
