['5', '0.050980392156862744', '511.0']
['5', '0.054901960784313725', '511.0']
['5', '0.058823529411764705', '511.0']
['5', '0.06274509803921569', '511.0']
['6', '0.027450980392156862', '25.0']
['6', '0.03137254901960784', '1673.0']
['6', '0.03529411764705882', '1211.0']
['6', '0.0392156862745098', '829.0']
['6', '0.043137254901960784', '1023.0']
['6', '0.047058823529411764', '1023.0']
['6', '0.050980392156862744', '1023.0']
['6', '0.054901960784313725', '1023.0']
['7', '0.01568627450980392', '1479.0']
['7', '0.0196078431372549', '1307.0']
['7', '0.023529411764705882', '911.0']
['7', '0.027450980392156862', '1023.0']
['7', '0.03137254901960784', '1023.0']
['7', '0.03529411764705882', '1023.0']
['7', '0.0392156862745098', '511.0']
['7', '0.043137254901960784', '511.0']
['7', '0.047058823529411764', '511.0']
['7', '0.050980392156862744', '511.0']
['8', '0.023529411764705882', '5.0']
['8', '0.027450980392156862', '1455.0']
['8', '0.03137254901960784', '1301.0']
['8', '0.03529411764705882', '1117.0']
['8', '0.0392156862745098', '937.0']
['8', '0.043137254901960784', '883.0']
['8', '0.047058823529411764', '1023.0']
['8', '0.050980392156862744', '1023.0']
['8', '0.054901960784313725', '1023.0']
['8', '0.058823529411764705', '511.0']
['8', '0.06274509803921569', '511.0']
['9', '0.03137254901960784', '33.0']
['9', '0.03529411764705882', '1461.0']
['9', '0.0392156862745098', '1283.0']
['9', '0.043137254901960784', '1569.0']
['9', '0.047058823529411764', '1023.0']
['9', '0.050980392156862744', '1023.0']
['9', '0.054901960784313725', '1023.0']
['9', '0.058823529411764705', '1023.0']
['9', '0.06274509803921569', '511.0']
['10', '0.03529411764705882', '1237.0']
['10', '0.0392156862745098', '1185.0']
['10', '0.043137254901960784', '1117.0']
['10', '0.047058823529411764', '1147.0']
['10', '0.050980392156862744', '1023.0']
['10', '0.054901960784313725', '1023.0']
['10', '0.058823529411764705', '1023.0']
['10', '0.06274509803921569', '1023.0']
