['35', '0.047058823529411764', '913.0']
['35', '0.050980392156862744', '1023.0']
['35', '0.054901960784313725', '1023.0']
['35', '0.058823529411764705', '1023.0']
['35', '0.06274509803921569', '1023.0']
['36', '0.027450980392156862', '1809.0']
['36', '0.03137254901960784', '1895.0']
['36', '0.03529411764705882', '1681.0']
['36', '0.0392156862745098', '1815.0']
['36', '0.043137254901960784', '1023.0']
['36', '0.047058823529411764', '1023.0']
['36', '0.050980392156862744', '1023.0']
['36', '0.054901960784313725', '1023.0']
['36', '0.058823529411764705', '1023.0']
['36', '0.06274509803921569', '125.0']
['37', '0.023529411764705882', '1439.0']
['37', '0.027450980392156862', '1245.0']
['37', '0.03137254901960784', '1023.0']
['37', '0.03529411764705882', '1023.0']
['37', '0.0392156862745098', '1023.0']
['37', '0.043137254901960784', '1023.0']
['37', '0.047058823529411764', '511.0']
['37', '0.050980392156862744', '13.0']
['38', '0.01568627450980392', '31.0']
['38', '0.0196078431372549', '1513.0']
['38', '0.023529411764705882', '1513.0']
['38', '0.027450980392156862', '1119.0']
['38', '0.03137254901960784', '1023.0']
['38', '0.03529411764705882', '1023.0']
['38', '0.0392156862745098', '1023.0']
['38', '0.043137254901960784', '511.0']
['38', '0.047058823529411764', '1023.0']
['38', '0.050980392156862744', '511.0']
['38', '0.054901960784313725', '511.0']
['38', '0.058823529411764705', '511.0']
['38', '0.06274509803921569', '511.0']
['39', '0.023529411764705882', '3.0']
['39', '0.027450980392156862', '1359.0']
['39', '0.03137254901960784', '803.0']
['39', '0.03529411764705882', '807.0']
['39', '0.0392156862745098', '1023.0']
['39', '0.043137254901960784', '1023.0']
['39', '0.047058823529411764', '1023.0']
['39', '0.050980392156862744', '1023.0']
['39', '0.054901960784313725', '1023.0']
['39', '0.058823529411764705', '511.0']
['39', '0.06274509803921569', '511.0']
['40', '0.0196078431372549', '1213.0']
['40', '0.023529411764705882', '823.0']
['40', '0.027450980392156862', '1023.0']
