['46', '0.0392156862745098', '1023.0']
['46', '0.043137254901960784', '1023.0']
['47', '0.027450980392156862', '1591.0']
['47', '0.03137254901960784', '979.0']
['47', '0.03529411764705882', '1023.0']
['47', '0.0392156862745098', '1023.0']
['47', '0.043137254901960784', '1023.0']
['47', '0.047058823529411764', '1023.0']
['47', '0.050980392156862744', '511.0']
['47', '0.054901960784313725', '511.0']
['47', '0.058823529411764705', '511.0']
['47', '0.06274509803921569', '511.0']
['48', '0.043137254901960784', '7.0']
['48', '0.047058823529411764', '1709.0']
['48', '0.050980392156862744', '1887.0']
['48', '0.054901960784313725', '1075.0']
['48', '0.058823529411764705', '979.0']
['48', '0.06274509803921569', '1023.0']
['49', '0.03137254901960784', '1643.0']
['49', '0.03529411764705882', '1481.0']
['49', '0.0392156862745098', '1023.0']
['49', '0.043137254901960784', '1023.0']
['49', '0.047058823529411764', '1023.0']
['49', '0.050980392156862744', '1023.0']
['49', '0.054901960784313725', '1023.0']
['49', '0.058823529411764705', '1023.0']
['49', '0.06274509803921569', '1023.0']
['50', '0.027450980392156862', '643.0']
['50', '0.03137254901960784', '1041.0']
['50', '0.03529411764705882', '1163.0']
['50', '0.0392156862745098', '1023.0']
['50', '0.043137254901960784', '1023.0']
['50', '0.047058823529411764', '511.0']
['50', '0.050980392156862744', '1023.0']
['50', '0.054901960784313725', '511.0']
['50', '0.058823529411764705', '511.0']
['50', '0.06274509803921569', '511.0']
['51', '0.043137254901960784', '1377.0']
['51', '0.047058823529411764', '1601.0']
['51', '0.050980392156862744', '1955.0']
['51', '0.054901960784313725', '1055.0']
['51', '0.058823529411764705', '1023.0']
['51', '0.06274509803921569', '1023.0']
['52', '0.03529411764705882', '1487.0']
['52', '0.0392156862745098', '1385.0']
['52', '0.043137254901960784', '1023.0']
['52', '0.047058823529411764', '1023.0']
['52', '0.050980392156862744', '1023.0']
['52', '0.054901960784313725', '1023.0']
['52', '0.058823529411764705', '1023.0']
