['40', '0.03137254901960784', '511.0']
['40', '0.03529411764705882', '125.0']
['41', '0.023529411764705882', '1561.0']
['41', '0.027450980392156862', '1307.0']
['41', '0.03137254901960784', '1023.0']
['41', '0.03529411764705882', '1023.0']
['41', '0.0392156862745098', '1023.0']
['41', '0.043137254901960784', '1023.0']
['41', '0.047058823529411764', '1023.0']
['41', '0.050980392156862744', '511.0']
['42', '0.03137254901960784', '5.0']
['42', '0.03529411764705882', '1725.0']
['42', '0.0392156862745098', '1497.0']
['42', '0.043137254901960784', '1727.0']
['42', '0.047058823529411764', '1023.0']
['42', '0.050980392156862744', '1023.0']
['42', '0.054901960784313725', '1023.0']
['42', '0.058823529411764705', '1023.0']
['42', '0.06274509803921569', '1023.0']
['43', '0.011764705882352941', '2397.0']
['43', '0.0196078431372549', '11.0']
['43', '0.023529411764705882', '23.0']
['43', '0.027450980392156862', '1483.0']
['43', '0.03137254901960784', '1023.0']
['43', '0.03529411764705882', '61.0']
['44', '0.03137254901960784', '1549.0']
['44', '0.03529411764705882', '1663.0']
['44', '0.0392156862745098', '967.0']
['44', '0.043137254901960784', '1023.0']
['44', '0.047058823529411764', '1023.0']
['44', '0.050980392156862744', '1023.0']
['44', '0.054901960784313725', '1023.0']
['44', '0.058823529411764705', '1023.0']
['44', '0.06274509803921569', '5.0']
['45', '0.023529411764705882', '133.0']
['45', '0.027450980392156862', '1331.0']
['45', '0.03137254901960784', '1043.0']
['45', '0.03529411764705882', '1023.0']
['45', '0.0392156862745098', '1023.0']
['45', '0.043137254901960784', '1023.0']
['45', '0.047058823529411764', '1023.0']
['45', '0.050980392156862744', '1023.0']
['45', '0.054901960784313725', '1023.0']
['45', '0.058823529411764705', '1023.0']
['45', '0.06274509803921569', '5.0']
['46', '0.0196078431372549', '1477.0']
['46', '0.023529411764705882', '1237.0']
['46', '0.027450980392156862', '1567.0']
['46', '0.03137254901960784', '1023.0']
['46', '0.03529411764705882', '1023.0']
